method,dataset,pattern,ratio,rmse,mae,mape,crps
fadti_dft_attn,ett,point,0.1,0.10315944882314346,0.06166475782919995,0.36876741771545596,0.06769630156065289
fadti_stft_attn,ett,time,0.5,0.18276128521316815,0.11193690794608516,0.7028080440558869,0.12577260167975174
fadti_frsst_conv,ett,point,0.5,0.14519346541721107,0.08676297686429933,0.5243620075693952,0.09511084305612665
fadti_dft_attn,ett,time,0.5,0.20480526268729898,0.11941195643406069,0.6667917888612921,0.11579795887595729
fadti_frsst_conv,ett,time,0.5,0.2838218134258592,0.15695238750436816,0.8577735256185376,0.1592659071872109
fadti_frsst_attn,ett,time,0.5,0.16629541498834255,0.09760619828754592,0.5986267904463373,0.10701716573614824
fadti_frsst_attn,ett,time,0.5,0.1741611793737787,0.10415205689342719,0.5372298256627458,0.0939055367519981
fadti_stft_conv,ett,point,0.5,0.1292598417815209,0.07747052753874278,0.4674458186246708,0.08493808696144506
fadti_dft_conv,ett,time,0.1,0.15152759486495646,0.08879190603103475,0.4073038876533412,0.07912796422054894
fadti_frsst_attn,ett,point,0.5,0.17690802868030336,0.09436714036299836,0.504046257879945,0.09352177067806847
fadti_frsst_attn,ett,point,0.5,0.1505905679767426,0.09111045247422521,0.5447917010261242,0.08783086350089625
fadti_dft_attn,ett,time,0.5,0.2355384867194977,0.12833389517968039,0.700894117296724,0.12949508114864952
fadti_stft_conv,ett,point,0.1,0.125694046353665,0.0712456816343842,0.4032650704330715,0.07035123047075774
fadti_dft_conv,ett,point,0.1,0.10986750951168849,0.06998441847602453,0.4760854851785786,0.07800940463417455
fadti_dft_conv,ett,point,0.1,0.10366145557631581,0.06160500723180945,0.3693516048782308,0.06766790465304726
fadti_dft_conv,ett,point,0.5,0.14538063362194162,0.08809290880041913,0.5270355863219923,0.0853054774434943
fadti_frsst_attn,ett,time,0.1,0.16317974456429304,0.10026489064918681,0.621738723262392,0.11281589457863256
fadti_dft_attn,ett,point,0.5,0.13495343077023525,0.08572905085610238,0.572043400551952,0.09666344366575542
fadti_stft_attn,ett,time,0.5,0.21034002983817057,0.12241734280897608,0.6778237416917202,0.1188566057305587
fadti_stft_attn,ett,time,0.1,0.20711848320068924,0.11330121927637973,0.5510522181185085,0.11289433429115697
fadti_dft_attn,ett,point,0.1,0.10686345898506183,0.06920300976350877,0.4811485694722489,0.07720040020189788
fadti_frsst_conv,ett,point,0.5,0.17770285153536336,0.10621372767142313,0.6162397737998154,0.10296494082400673
fadti_dft_attn,ett,point,0.5,0.13105133678545713,0.08069645991990927,0.41836555166795314,0.07271620474363628
fadti_stft_attn,ett,time,0.1,0.14678172004396023,0.086043716966011,0.5380279730809527,0.0938968909414191
fadti_stft_conv,ett,time,0.1,0.14958194226303423,0.08846413269691819,0.43152913287352895,0.07924286942732961
fadti_frsst_conv,ett,point,0.1,0.11976108017995861,0.06963977108380756,0.4175718229731876,0.07610905797857988
fadti_dft_conv,ett,time,0.1,0.1655530811873357,0.09939002267131483,0.6170662766347363,0.11268251820614464
fadti_dft_conv,ett,time,0.5,0.23296089734710437,0.12760549677697255,0.6899900499713899,0.1288823077553197
fadti_stft_attn,ett,point,0.5,0.12730305691722185,0.07629667296422057,0.45836013975716133,0.08323894048991956
fadti_dft_conv,ett,time,0.5,0.16439176863969976,0.09597522289181647,0.595163726994341,0.10529562046653346
